Lipid	CheBI_ID	CheBI Name	SLM_ID	Name	Abbreviation_SLM	SMILES	InChIKey	Formula	Charge	Mass	Exact Mass	[M.]+	[M+H]+	[M+K]+	[M+Na]+	[M+Li]+	[M+NH4]+	[M+Cl]-	[M+OAc]-
LysoPC18:0	CHEBI:64561	lysophosphatidylcholine 18:0	SLM:000055322	Lysophosphatidylcholine (18:0)	LPC(18:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C26H54NO7P	0	523.683228	523.36377	523.36322	524.371094	562.326965	546.353027	530.379272	541.397644	558.333191	582.377625
LysoPC18:0	CHEBI:91313	lysophosphatidylcholine(18:0/0:0)				[C@@H](COC(=O)*)(COP(OCC[N+](C)(C)C)(=O)[O-])O		C26H54NO7P	0	523.683228	523.36377	523.36322	524.371094	562.326965	546.353027	530.379272	541.397644	558.333191	582.377625
LysoPC18:0	CHEBI:73858	1-stearoyl-sn-glycero-3-phosphocholine	SLM:000000670	1-octadecanoyl-sn-glycero-3-phosphocholine	PC(18:0/0:0)	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=IHNKQIMGVNPMTC-RUZDIDTESA-N	C26H54NO7P	0	523.683228	523.36377	523.36322	524.371094	562.326965	546.353027	530.379272	541.397644	558.333191	582.377625
LysoPC18:1	CHEBI:64566	lysophosphatidylcholine 18:1	SLM:000055323	Lysophosphatidylcholine (18:1)	LPC(18:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C26H52NO7P	0	521.6673	521.34814	521.347591	522.355416	560.311298	544.337361	528.363595	539.381965	556.317541	580.361992
LysoPC18:1	CHEBI:131739	lysophosphatidylcholine(18:1/0:0)				[C@@H](COC(=O)*)(COP(OCC[N+](C)(C)C)(=O)[O-])O		C26H52NO7P	0	521.6673	521.34814	521.347591	522.355416	560.311298	544.337361	528.363595	539.381965	556.317541	580.361992
LysoPC18:1	CHEBI:28610	1-O-oleoyl-sn-glycero-3-phosphocholine	SLM:000389824	1-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	PC(18:1(9Z)/0:0)	CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=YAMUFBLWGFFICM-PTGWMXDISA-N	C26H52NO7P	0	521.6673	521.34814	521.347591	522.355416	560.311298	544.337361	528.363595	539.381965	556.317541	580.361992
LysoPC18:1	CHEBI:86255	1-[(11Z)-octadecenoyl]-sn-glycero-3-phosphocholine PC(18:1(11Z)/0:0)				CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C		C26H52NO7P	0	521.6673	521.34814	521.347591	522.355416	560.311298	544.337361	528.363595	539.381965	556.317541	580.361992
LysoPC20:0	CHEBI:67058	lysophosphatidylcholine 20:0	SLM:000055328	Lysophosphatidylcholine (20:0)	LPC(20:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C28H58NO7P	0	551.736389	551.395081	551.394531	552.402344	590.358276	574.384338	558.410522	569.428894	586.364502	610.408936
LysoPC20:0	CHEBI:74968	1-icosanoyl-sn-glycero-3-phosphocholine	SLM:000000703	1-eicosanoyl-sn-glycero-3-phosphocholine	PC(20:0/0:0)	CCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=UATOAILWGVYRQS-HHHXNRCGSA-N	C28H58NO7P	0	551.736389	551.395081	551.394531	552.402344	590.358276	574.384338	558.410522	569.428894	586.364502	610.408936
LysoPC20:1	CHEBI:67057	lysophosphatidylcholine 20:1	SLM:000055329	Lysophosphatidylcholine (20:1)	LPC(20:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C28H56NO7P	0	549.72052	549.379456	549.378906	550.386719	588.34259	572.368652	556.394897	567.413269	584.348816	608.393311
LysoPC20:1	CHEBI:88685	1-(11Z)-icosenoyl-sn-glycero-3-phosphocholine	SLM:000020710	1-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine	PC(20:1(11Z)/0:0)	CCCCCCCC\C=C/CCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=YYSFWGQAKJTHRE-MEOKJUQFSA-N	C28H56NO7P	0	549.72052	549.379456	549.378906	550.386719	588.34259	572.368652	556.394897	567.413269	584.348816	608.393311
LysoPC22:0	CHEBI:67061	lysophosphatidylcholine 22:0	SLM:000055335	Lysophosphatidylcholine (22:0)	LPC(22:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C30H62NO7P	0	579.78949	579.426392	579.425842	580.433655	618.389526	602.415588	586.441833	597.460205	614.395813	638.440247
LysoPC22:0			SLM:000020762	1-docosanoyl-sn-glycero-3-phosphocholine	PC(22:0/0:0)	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=UIINDYGXBHJQHX-GDLZYMKVSA-N	C30H62NO7P	0	579.78949	579.426392	579.425842	580.433655	618.389526	602.415588	586.441833	597.460205	614.395813	638.440247
LysoPC22:1	CHEBI:67060	lysophosphatidylcholine 22:1	SLM:000055336	Lysophosphatidylcholine (22:1)	LPC(22:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C30H60NO7P	0	577.773682	577.410767	577.410217	578.41803	616.373901	600.399963	584.426208	595.44458	612.380127	636.424622
LysoPC22:1	CHEBI:88684	LysoPC(22:1(13Z))	SLM:000020718	1-(13Z-docosenoyl)-sn-glycero-3-phosphocholine	PC(22:1(13Z)/0:0)	CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=PAFOXYLFALKPOE-BKAVPCLVSA-N	C30H60NO7P	0	577.773682	577.410767	577.410217	578.41803	616.373901	600.399963	584.426208	595.44458	612.380127	636.424622
LysoPC24:0	CHEBI:74470	lysophosphatidylcholine 24:0	SLM:000055342	Lysophosphatidylcholine (24:0)	LPC(24:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C32H66NO7P	0	607.842712	607.457703	607.457153	608.464966	646.420837	630.446899	614.473145	625.491516	642.427063	666.471558
LysoPC24:0	CHEBI:86260	1-tetracosanoyl-sn-glycero-3-phosphocholine	SLM:000020773	1-tetracosanoyl-sn-glycero-3-phosphocholine	PC(24:0/0:0)	CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=SKJMUADLQLZAGH-WJOKGBTCSA-N	C32H66NO7P	0	607.842712	607.457703	607.457153	608.464966	646.420837	630.446899	614.473145	625.491516	642.427063	666.471558
LysoPC24:1	CHEBI:74471	lysophosphatidylcholine 24:1	SLM:000055343	Lysophosphatidylcholine (24:1)	LPC(24:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C32H64NO7P	0	605.826782	605.442017	605.441467	606.449341	644.405212	628.431274	612.45752	623.475891	640.411438	664.455872
LysoPC24:1	CHEBI:88948	LysoPC(24:1(15Z))	SLM:000020723	1-(15Z-tetracosenoyl)-sn-glycero-3-phosphocholine	PC(24:1(15Z)/0:0)	CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=GDXMCRNTFPQYOQ-RPUPUBLZSA-N	C32H64NO7P	0	605.826782	605.442017	605.441467	606.449341	644.405212	628.431274	612.45752	623.475891	640.411438	664.455872
LysoPC26:0	CHEBI:74472	lysophosphatidylcholine 26:0	SLM:000055347	Lysophosphatidylcholine (26:0)	LPC(26:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C34H70NO7P	0	635.895874	635.489014	635.488464	636.496277	674.452148	658.47821	642.504456	653.522827	670.458374	694.502869
LysoPC26:0			SLM:000020765	1-hexacosanoyl-sn-glycero-3-phosphocholine	PC(26:0/0:0)	CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=WSDKRPCAPHRNNZ-MGBGTMOVSA-N	C34H70NO7P	0	635.895874	635.489014	635.488464	636.496277	674.452148	658.47821	642.504456	653.522827	670.458374	694.502869
LysoPC26:1	CHEBI:74473	lysophosphatidylcholine 26:1	SLM:000055348	Lysophosphatidylcholine (26:1)	LPC(26:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C34H68NO7P	0	633.880005	633.473328	633.472778	634.480591	672.436523	656.462585	640.48877	651.507141	668.442749	692.487183
LysoPC26:1			SLM:000020727	1-(17Z-hexacosenoyl)-sn-glycero-3-phosphocholine	PC(26:1(17Z)/0:0)	CCCCCCCC\C=C/CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=DTPLCNOIMOCZMN-XJFUVJCPSA-N	C34H68NO7P	0	633.880005	633.473328	633.472778	634.480591	672.436523	656.462585	640.48877	651.507141	668.442749	692.487183
PC26:0	CHEBI:72423	phosphatidylcholine 26:0	SLM:000056454	Phosphatidylcholine (26:0)	PC(26:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C34H68NO8P	0	649.879395	649.468262	649.467712	650.475525	688.431396	672.457458	656.483704	667.502075	684.437683	708.482117
PC26:1	CHEBI:72424	phosphatidylcholine 26:1	SLM:000056455	Phosphatidylcholine (26:1)	PC(26:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C34H66NO8P	0	647.863525	647.452576	647.452026	648.4599	686.415771	670.441833	654.468079	665.48645	682.421997	706.466431
PC26:2	CHEBI:72425	phosphatidylcholine 26:2	SLM:000056456	Phosphatidylcholine (26:2)	PC(26:2)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C34H64NO8P	0	645.847595	645.436951	645.436401	646.444214	684.400085	668.426147	652.452393	663.470764	680.406372	704.450806
PC28:0	CHEBI:65294	phosphatidylcholine 28:0	SLM:000056466	Phosphatidylcholine (28:0)	PC(28:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C36H72NO8P	0	677.932495	677.499573	677.499023	678.506836	716.462708	700.48877	684.515015	695.533386	712.468933	736.513428
PC28:1	CHEBI:65293	phosphatidylcholine 28:1	SLM:000056467	Phosphatidylcholine (28:1)	PC(28:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C36H70NO8P	0	675.916687	675.483887	675.483337	676.491211	714.447083	698.473145	682.49939	693.5177	710.453308	734.497742
PC28:2	CHEBI:65292	phosphatidylcholine 28:2	SLM:000056468	Phosphatidylcholine (28:2)	PC(28:2)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C36H68NO8P	0	673.900818	673.468262	673.467712	674.475525	712.431396	696.457458	680.483704	691.502075	708.437683	732.482117
PC30:0	CHEBI:65303	phosphatidylcholine 30:0	SLM:000056479	Phosphatidylcholine (30:0)	PC(30:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C38H76NO8P	0	705.985718	705.530884	705.530334	706.538147	744.494019	728.520081	712.546326	723.564697	740.500244	764.544678
PC30:1	CHEBI:65302	phosphatidylcholine 30:1	SLM:000056480	Phosphatidylcholine (30:1)	PC(30:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C38H74NO8P	0	703.969788	703.515198	703.514648	704.522461	742.478333	726.504456	710.53064	721.549011	738.484619	762.529053
PC30:2	CHEBI:65301	phosphatidylcholine 30:2	SLM:000056481	Phosphatidylcholine (30:2)	PC(30:2)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C38H72NO8P	0	701.953918	701.499573	701.499023	702.506836	740.462708	724.48877	708.515015	719.533386	736.468933	760.513428
PC32:0	CHEBI:66850	phosphatidylcholine 32:0	SLM:000056493	Phosphatidylcholine (32:0)	PC(32:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C40H80NO8P	0	734.038879	733.562134	733.561584	734.569458	772.52533	756.551392	740.577637	751.596008	768.531555	792.575989
PC32:1	CHEBI:66849	phosphatidylcholine 32:1	SLM:000056494	Phosphatidylcholine (32:1)	PC(32:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C40H78NO8P	0	732.02301	731.546509	731.545959	732.553772	770.509644	754.535706	738.561951	749.580322	766.51593	790.560364
PC32:2	CHEBI:66848	phosphatidylcholine 32:2	SLM:000056495	Phosphatidylcholine (32:2)	PC(32:2)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C40H76NO8P	0	730.00708	729.530884	729.530334	730.538147	768.494019	752.520081	736.546326	747.564697	764.500244	788.544678
PC34:0	CHEBI:66855	phosphatidylcholine 34:0	SLM:000056507	Phosphatidylcholine (34:0)	PC(34:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C42H84NO8P	0	762.09198	761.593445	761.592896	762.600708	800.556641	784.582703	768.608887	779.627258	796.562866	820.6073
PC34:1	CHEBI:64517	phosphatidylcholine 34:1	SLM:000056508	Phosphatidylcholine (34:1)	PC(34:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C42H82NO8P	0	760.076111	759.57782	759.577271	760.585083	798.540955	782.567017	766.593262	777.611633	794.54718	818.591675
PC34:2	CHEBI:64516	phosphatidylcholine 34:2	SLM:000056509	Phosphatidylcholine (34:2)	PC(34:2)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C42H80NO8P	0	758.060303	757.562134	757.561584	758.569458	796.52533	780.551392	764.577637	775.596008	792.531555	816.575989
PC36:0	CHEBI:66858	phosphatidylcholine 36:0	SLM:000056521	Phosphatidylcholine (36:0)	PC(36:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C44H88NO8P	0	790.145203	789.624756	789.624207	790.632019	828.587891	812.613953	796.640198	807.658569	824.594177	848.638611
PC36:1	CHEBI:66857	phosphatidylcholine 36:1	SLM:000056522	Phosphatidylcholine (36:1)	PC(36:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C44H86NO8P	0	788.129272	787.609131	787.608582	788.616394	826.572266	810.598328	794.624573	805.642944	822.578491	846.622986
PC36:2	CHEBI:64433	phosphatidylcholine 36:2	SLM:000056523	Phosphatidylcholine (36:2)	PC(36:2)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C44H84NO8P	0	786.113403	785.593445	785.592896	786.600708	824.556641	808.582703	792.608887	803.627258	820.562866	844.6073
PC38:0	CHEBI:66861	phosphatidylcholine 38:0	SLM:000056537	Phosphatidylcholine (38:0)	PC(38:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C46H92NO8P	0	818.198303	817.656067	817.655518	818.66333	856.619202	840.645264	824.671509	835.68988	852.625427	876.669922
PC38:1	CHEBI:66860	phosphatidylcholine 38:1	SLM:000056538	Phosphatidylcholine (38:1)	PC(38:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C46H90NO8P	0	816.182495	815.640381	815.639832	816.647705	854.603577	838.629639	822.655884	833.674255	850.609802	874.654236
PC38:2	CHEBI:66859	phosphatidylcholine 38:2	SLM:000056539	Phosphatidylcholine (38:2)	PC(38:2)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C46H88NO8P	0	814.166626	813.624756	813.624207	814.632019	852.587891	836.613953	820.640198	831.658569	848.594177	872.638611
PC40:0	CHEBI:66866	phosphatidylcholine 40:0	SLM:000056554	Phosphatidylcholine (40:0)	PC(40:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C48H96NO8P	0	846.251526	845.687378	845.686829	846.694641	884.650513	868.676575	852.70282	863.721191	880.656738	904.701233
PC40:1	CHEBI:66865	phosphatidylcholine 40:1	SLM:000056555	Phosphatidylcholine (40:1)	PC(40:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C48H94NO8P	0	844.235596	843.671692	843.671143	844.678955	882.634888	866.66095	850.687134	861.705505	878.641113	902.685547
PC40:2	CHEBI:66864	phosphatidylcholine 40:2	SLM:000056557	Phosphatidylcholine (40:2)	PC(40:2)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C48H92NO8P	0	842.219727	841.656067	841.655518	842.66333	880.619202	864.645264	848.671509	859.68988	876.625427	900.669922
PC42:0	CHEBI:66971	phosphatidylcholine 42:0	SLM:000056572	Phosphatidylcholine (42:0)	PC(42:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C50H100NO8P	0	874.304688	873.718628	873.718079	874.725952	912.681824	896.707886	880.734131	891.752502	908.688049	932.732483
PC42:1	CHEBI:66970	phosphatidylcholine 42:1	SLM:000056573	Phosphatidylcholine (42:1)	PC(42:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C50H98NO8P	0	872.288818	871.703003	871.702454	872.710266	910.666138	894.6922	878.718445	889.736816	906.672424	930.716858
PC42:2	CHEBI:66969	phosphatidylcholine 42:2	SLM:000056576	Phosphatidylcholine (42:2)	PC(42:2)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C50H96NO8P	0	870.272888	869.687378	869.686829	870.694641	908.650513	892.676575	876.70282	887.721191	904.656738	928.701233
PC44:0	CHEBI:66979	phosphatidylcholine 44:0	SLM:000056591	Phosphatidylcholine (44:0)	PC(44:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C52H104NO8P	0	902.357788	901.749939	901.74939	902.757202	940.713135	924.739197	908.765381	919.783752	936.71936	960.763794
PC44:1	CHEBI:66978	phosphatidylcholine 44:1	SLM:000056592	Phosphatidylcholine (44:1)	PC(44:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C52H102NO8P	0	900.341919	899.734314	899.733765	900.741577	938.697449	922.723511	906.749756	917.768127	934.703735	958.748169
PC44:2	CHEBI:66977	phosphatidylcholine 44:2	SLM:000056596	Phosphatidylcholine (44:2)	PC(44:2)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C52H100NO8P	0	898.326111	897.718628	897.718079	898.725952	936.681824	920.707886	904.734131	915.752502	932.688049	956.732483
PC46:0	CHEBI:72428	phosphatidylcholine 46:0	SLM:000056609	Phosphatidylcholine (46:0)	PC(46:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C54H108NO8P	0	930.411011	929.78125	929.780701	930.788513	968.744385	952.770447	936.796692	947.815063	964.750671	988.795105
PC46:1	CHEBI:72429	phosphatidylcholine 46:1	SLM:000056610	Phosphatidylcholine (46:1)	PC(46:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C54H106NO8P	0	928.395081	927.765625	927.765076	928.772888	966.72876	950.754822	934.781067	945.799438	962.734985	986.77948
PC46:2	CHEBI:72430	phosphatidylcholine 46:2	SLM:000056614	Phosphatidylcholine (46:2)	PC(46:2)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C54H104NO8P	0	926.379211	925.749939	925.74939	926.757202	964.713135	948.739197	932.765381	943.783752	960.71936	984.763794
PC48:0	CHEBI:72431	phosphatidylcholine 48:0	SLM:000056627	Phosphatidylcholine (48:0)	PC(48:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C56H112NO8P	0	958.464111	957.812561	957.812012	958.819824	996.775696	980.801758	964.828003	975.846375	992.781982	1016.826416
PC48:1	CHEBI:72432	phosphatidylcholine 48:1	SLM:000056628	Phosphatidylcholine (48:1)	PC(48:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C56H110NO8P	0	956.448303	955.796936	955.796387	956.804199	994.760071	978.786133	962.812378	973.83075	990.766296	1014.81073
PC48:2	CHEBI:72433	phosphatidylcholine 48:2	SLM:000056632	Phosphatidylcholine (48:2)	PC(48:2)	C[N+](C)(C)CCOP([O-])(=O)OCC(COC([*])=O)OC([*])=O		C56H108NO8P	0	954.432373	953.78125	953.780701	954.788513	992.744385	976.770447	960.796692	971.815063	988.750671	1012.795105
LysoPE14:0	CHEBI:72381	lysophosphatidylethanolamine zwitterion 14:0	SLM:000055407	Lysophosphatidylethanolamine (14:0)	LPE(14:0) 	[NH3+]CCOP([O-])(=O)OCC(CO[*])O[*]		C19H40NO7P	0	425.497192	425.254242	425.253693	426.261505	464.217407	448.243469	432.269684	443.288055	460.223633	484.268097
LysoPE14:0	CHEBI:84299	1-myristoyl-sn-glycero-3-phosphoethanolamine zwitterion	SLM:000030177	1-tetradecanoyl-sn-glycero-3-phosphoethanolamine	PE(14:0/0:0)	CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[NH3+]	InChIKey=RPXHXZNGZBHSMJ-GOSISDBHSA-N	C19H40NO7P	0	425.497192	425.254242	425.253693	426.261505	464.217407	448.243469	432.269684	443.288055	460.223633	484.268097
LysoPE14:1	CHEBI:72382	lysophosphatidylethanolamine zwitterion 14:1	SLM:000055408	Lysophosphatidylethanolamine (14:1)	LPE(14:1) 	[NH3+]CCOP([O-])(=O)OCC(CO[*])O[*]		C19H38NO7P	0	423.481293	423.238586	423.238037	424.24588	462.201752	446.227814	430.254059	441.2724	458.207977	482.252441
LysoPE14:1			SLM:000030159	1-(9Z-tetradecenoyl)-sn-glycero-3-phosphoethanolamine	PE(14:1(9Z)/0:0)	CCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[NH3+]	InChIKey=ADNZOMZMSANELY-OOFWQKGWSA-N	C19H38NO7P	0	423.481293	423.238586	423.238037	424.24588	462.201752	446.227814	430.254059	441.2724	458.207977	482.252441
LysoPE16:0	CHEBI:72384	lysophosphatidylethanolamine zwitterion 16:0	SLM:000055410	Lysophosphatidylethanolamine (16:0)	LPE(16:0) 	[NH3+]CCOP([O-])(=O)OCC(CO[*])O[*]		C21H44NO7P	0	453.550293	453.285553	453.285004	454.292816	492.248688	476.27475	460.300995	471.319366	488.254944	512.299377
LysoPE16:0	CHEBI:90452	lysophosphatidylethanolamine 16:0	SLM:000055410	Lysophosphatidylethanolamine (16:0)	LPE(16:0) 	[NH3+]CCOP([O-])(=O)OCC(CO[*])O[*]		C21H44NO7P	0	453.550293	453.285553	453.285004	454.292816	492.248688	476.27475	460.300995	471.319366	488.254944	512.299377
